GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
02020001200,1216751,02,020,S,+61.2121895,12,Census Tract 12,-149.9098168,001200,G5020,2010010,00000000000000001cc1
02090001200,654304,02,090,S,+64.8899711,12,Census Tract 12,-147.5765503,001200,G5020,63266881,00000000000000001cdc
02122001200,4721050699,02,122,S,+59.3578793,12,Census Tract 12,-151.7722288,001200,G5020,2497918070,00000000000000001ceb
02020001300,6722190,02,020,S,+61.2011575,13,Census Tract 13,-149.9490213,001300,G5020,2720664,00000000000000001cb3
02090001300,225223,02,090,S,+64.8944045,13,Census Tract 13,-147.7925907,001300,G5020,81674268,00000000000000001cd9
02122001300,2346423905,02,122,S,+59.8466522,13,Census Tract 13,-149.6480593,001300,G5020,4905814247,00000000000000001cec
02170001300,76446511,02,170,S,+61.5340335,13,Census Tract 13,-148.9881684,001300,G5020,409020154,00000000000000001d43
02020001500,36177,02,020,S,+61.1918104,15,Census Tract 15,-149.8532543,001500,G5020,3335291,00000000000000001d4f
02090001600,178393,02,090,S,+64.7584714,16,Census Tract 16,-147.3627589,001600,G5020,25027079,00000000000000001cde
02090001700,141844867,02,090,S,+64.6242955,17,Census Tract 17,-145.1380401,001700,G5020,3435349083,00000000000000001cd8
02020001900,0,02,020,S,+61.1839061,19,Census Tract 19,-149.8805455,001900,G5020,4483862,00000000000000001d45
02020002000,0,02,020,S,+61.1880022,20,Census Tract 20,-149.9056059,002000,G5020,1334897,00000000000000001d49
02020002100,0,02,020,S,+61.1879482,21,Census Tract 21,-149.9226985,002100,G5020,1612672,00000000000000001d4a
02020002400,0,02,020,S,+61.1769890,24,Census Tract 24,-149.9201805,002400,G5020,2070011,00000000000000001d4b
02020002900,136523882,02,020,S,+60.9725650,29,Census Tract 29,-149.0847163,002900,G5020,1407545265,00000000000000001cc9
02020000101,65496944,02,020,S,+61.2992720,1.01,Census Tract 1.01,-149.0212019,000101,G5020,1602724420,00000000000000001cc5
02130000101,1384545,02,130,S,+55.4224868,1.01,Census Tract 1.01,-131.7622852,000101,G5020,22142555,00000000000000001cd3
02170000101,621755703,02,170,S,+62.4153585,1.01,Census Tract 1.01,-150.4078364,000101,G5020,36661254720,00000000000000001d29
02020000102,14891522,02,020,S,+61.3488237,1.02,Census Tract 1.02,-149.3997998,000102,G5020,168728483,00000000000000001cbd
02130000102,4647586911,02,130,S,+55.4499378,1.02,Census Tract 1.02,-131.1066847,000102,G5020,12515086896,00000000000000001cd2
02170000102,59691959,02,170,S,+62.4479600,1.02,Census Tract 1.02,-149.0073267,000102,G5020,11442031691,00000000000000001d58
